Date,All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)
1/2/1995,1.127
1/9/1995,1.134
1/16/1995,1.126
1/23/1995,1.132
1/30/1995,1.131
2/6/1995,1.124
2/13/1995,1.121
2/20/1995,1.115
2/27/1995,1.121
3/6/1995,1.123
3/13/1995,1.116
3/20/1995,1.114
3/27/1995,1.121
4/3/1995,1.133
4/10/1995,1.149
4/17/1995,1.163
4/24/1995,1.184
5/1/1995,1.194
5/8/1995,1.216
5/15/1995,1.226
5/22/1995,1.244
5/29/1995,1.246
6/5/1995,1.246
6/12/1995,1.243
6/19/1995,1.236
6/26/1995,1.229
7/3/1995,1.222
7/10/1995,1.212
7/17/1995,1.2
7/24/1995,1.191
7/31/1995,1.179
8/7/1995,1.174
8/14/1995,1.172
8/21/1995,1.171
8/28/1995,1.163
9/4/1995,1.16
9/11/1995,1.158
9/18/1995,1.157
9/25/1995,1.156
10/2/1995,1.151
10/9/1995,1.144
10/16/1995,1.133
10/23/1995,1.125
10/30/1995,1.115
11/6/1995,1.112
11/13/1995,1.109
11/20/1995,1.106
11/27/1995,1.107
12/4/1995,1.108
12/11/1995,1.11
12/18/1995,1.124
12/25/1995,1.128
1/1/1996,1.129
1/8/1996,1.139
1/15/1996,1.145
1/22/1996,1.138
1/29/1996,1.133
2/5/1996,1.13
2/12/1996,1.126
2/19/1996,1.133
2/26/1996,1.153
3/4/1996,1.17
3/11/1996,1.171
3/18/1996,1.181
3/25/1996,1.21
4/1/1996,1.223
4/8/1996,1.248
4/15/1996,1.287
4/22/1996,1.301
4/29/1996,1.318
5/6/1996,1.321
5/13/1996,1.323
5/20/1996,1.33
5/27/1996,1.321
6/3/1996,1.315
6/10/1996,1.307
6/17/1996,1.302
6/24/1996,1.289
7/1/1996,1.279
7/8/1996,1.276
7/15/1996,1.273
7/22/1996,1.272
7/29/1996,1.263
8/5/1996,1.253
8/12/1996,1.248
8/19/1996,1.249
8/26/1996,1.253
9/2/1996,1.242
9/9/1996,1.247
9/16/1996,1.25
9/23/1996,1.251
9/30/1996,1.245
10/7/1996,1.239
10/14/1996,1.248
10/21/1996,1.249
10/28/1996,1.26
11/4/1996,1.268
11/11/1996,1.272
11/18/1996,1.282
11/25/1996,1.289
12/2/1996,1.287
12/9/1996,1.287
12/16/1996,1.283
12/23/1996,1.278
12/30/1996,1.274
1/6/1997,1.272
1/13/1997,1.287
1/20/1997,1.287
1/27/1997,1.284
2/3/1997,1.282
2/10/1997,1.28
2/17/1997,1.273
2/24/1997,1.27
3/3/1997,1.261
3/10/1997,1.253
3/17/1997,1.246
3/24/1997,1.25
3/31/1997,1.246
4/7/1997,1.248
4/14/1997,1.244
4/21/1997,1.245
4/28/1997,1.24
5/5/1997,1.238
5/12/1997,1.238
5/19/1997,1.247
5/26/1997,1.255
6/2/1997,1.258
6/9/1997,1.251
6/16/1997,1.242
6/23/1997,1.232
6/30/1997,1.226
7/7/1997,1.222
7/14/1997,1.219
7/21/1997,1.222
7/28/1997,1.216
8/4/1997,1.237
8/11/1997,1.272
8/18/1997,1.274
8/25/1997,1.288
